"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что API возвращает список заказов. Ожидается статус 200 и массив заказов (возможно пустой).","9192","Получение списка заказов","","2026-01-28","passed","2026-01-28","","OrdersListTest","OrdersListTest","testGetOrdersList"
"Проверяем, что курьер может авторизоваться с корректными логином и паролем. Ожидается статус 200 и наличие поля id в ответе.","976","Успешный вход курьера в систему","","2026-01-28","passed","2026-01-28","","CourierLoginTest","CourierLoginTest","testSuccessfulLogin"
"Проверяем создание заказа с разными вариантами цветов. Ожидается статус 201 и наличие поля track.","309","Создание заказа","","2026-01-28","passed","2026-01-28","","OrderCreationTest","OrderCreationTest","testOrderCreation[1]"
"Проверяем, что курьер создаётся с корректными данными и возвращается статус 201","369","Создание курьера: успешный сценарий","","2026-01-28","passed","2026-01-28","","CourierCreateTest","CourierCreateTest","testCreateCourierSuccess"
"Проверяем ответ при отсутствии поля password (ожидаем 400 или 201 с сообщением об ошибке)","275","Создание курьера без поля password","","2026-01-28","passed","2026-01-28","","CourierCreateTest","CourierCreateTest","testMissingPassword"
"Проверяем ответ при отсутствии поля firstName (ожидаем 400 или 201 с сообщением об ошибке)","233","Создание курьера без поля firstName","","2026-01-28","failed","2026-01-28","","CourierCreateTest","CourierCreateTest","testMissingFirstName"
"Проверяем ответ при отсутствии поля login (ожидаем 400 или 201 с сообщением об ошибке)","239","Создание курьера без поля login","","2026-01-28","passed","2026-01-28","","CourierCreateTest","CourierCreateTest","testMissingLogin"
"Проверяем ответ API при попытке входа с неверным паролем. Ожидается статус 404 и сообщение об ошибке.","9720","Вход с неверным паролем","","2026-01-28","passed","2026-01-28","","CourierLoginTest","CourierLoginTest","testInvalidPassword"
"Проверяем, что API возвращает 400 и сообщение при отсутствии поля password.","60558","Вход без указания password","","2026-01-28","failed","2026-01-28","","CourierLoginTest","CourierLoginTest","testMissingPassword"
"Проверяем, что нельзя создать курьера с уже существующим логином (статус 409)","567","Создание дублирующего курьера","","2026-01-28","passed","2026-01-28","","CourierCreateTest","CourierCreateTest","testCreateDuplicateCourier"
"Проверяем, что API возвращает 400 и сообщение при отсутствии поля login.","464","Вход без указания login","","2026-01-28","passed","2026-01-28","","CourierLoginTest","CourierLoginTest","testMissingLogin"
"Проверяем создание заказа с разными вариантами цветов. Ожидается статус 201 и наличие поля track.","394","Создание заказа","","2026-01-28","passed","2026-01-28","","OrderCreationTest","OrderCreationTest","testOrderCreation[0]"
"Проверяем создание заказа с разными вариантами цветов. Ожидается статус 201 и наличие поля track.","246","Создание заказа","","2026-01-28","passed","2026-01-28","","OrderCreationTest","OrderCreationTest","testOrderCreation[2]"
"Проверяем ответ API при попытке входа с несуществующим логином. Ожидается статус 404 и сообщение об ошибке.","498","Вход с неверным логином","","2026-01-28","passed","2026-01-28","","CourierLoginTest","CourierLoginTest","testInvalidLogin"
