"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 27 13:13:09 MSK 2026","Tue Jan 27 13:13:09 MSK 2026","452","","CourierCreateTest","","CourierCreateTest","testCreateDuplicateCourier","testCreateDuplicateCourier",""
"passed","Tue Jan 27 13:13:20 MSK 2026","Tue Jan 27 13:13:20 MSK 2026","367","","OrderCreationTest","","OrderCreationTest","testOrderCreationWithBothColors","testOrderCreationWithBothColors",""
"passed","Tue Jan 27 13:13:20 MSK 2026","Tue Jan 27 13:13:21 MSK 2026","268","","OrderCreationTest","","OrderCreationTest","testOrderCreationWithoutColor","testOrderCreationWithoutColor",""
"passed","Tue Jan 27 13:13:09 MSK 2026","Tue Jan 27 13:13:09 MSK 2026","311","","CourierCreateTest","","CourierCreateTest","testCreateCourierSuccess","testCreateCourierSuccess",""
"passed","Tue Jan 27 13:13:09 MSK 2026","Tue Jan 27 13:13:20 MSK 2026","10314","","OrdersListTest","","OrdersListTest","testGetOrdersList","testGetOrdersList",""
"passed","Tue Jan 27 13:11:59 MSK 2026","Tue Jan 27 13:12:06 MSK 2026","7667","","CourierLoginTest","","CourierLoginTest","testSuccessfulLogin","testSuccessfulLogin",""
"passed","Tue Jan 27 13:13:07 MSK 2026","Tue Jan 27 13:13:08 MSK 2026","480","","CourierLoginTest","","CourierLoginTest","testInvalidCredentials","testInvalidCredentials",""
"failed","Tue Jan 27 13:12:06 MSK 2026","Tue Jan 27 13:13:07 MSK 2026","60908","","CourierLoginTest","","CourierLoginTest","testMissingLoginOrPassword","testMissingLoginOrPassword",""
"failed","Tue Jan 27 13:13:08 MSK 2026","Tue Jan 27 13:13:09 MSK 2026","707","","CourierCreateTest","","CourierCreateTest","testMissingRequiredFields","testMissingRequiredFields",""
"passed","Tue Jan 27 13:13:20 MSK 2026","Tue Jan 27 13:13:20 MSK 2026","244","","OrderCreationTest","","OrderCreationTest","testOrderCreationWithBlackColor","testOrderCreationWithBlackColor",""
